book_name,stemmed
Everything I Know,3985 ditch all the rule and give you a guid to live a fulfil and adventur life that can be infinit updat stretch expand and custom base on who you are instead of anoth dothistogetrichfast scheme that doesnt work for everyon creativ
Losing My Virginity,3986 detail richard branson meteor rise to success and dig into what made him the adventur funlov dare entrepreneur he is today and what lesson you can learn about busi from him creativ
The Desire Map,3987 give your goalset mechan a makeov by show you that desir not fact is what fuel our live and help you reli on your feel to navig life instead of give in to the pressur of the outsid world to check the box on goal that dont realli matter to you creativ
The Art of Non-Conformity,3988 teach you how to play life by your own rule by give you practic glimps into the world of selfemploy a new approach to travel todo list minim and consciou spend habit creativ
The E-Myth Revisited,3989 explain whi 80 of small busi fail and how to ensur your isnt among those by build a compani that base on system and not on the work of a singl individu creativ
Uncertainty,3990 show you that the condit of not know is noth to fear but the birthplac of innov which if you embrac it while anchor yourself ha an unlimit potenti for growth wealth and happi creativ
"Trust Me, I’m Lying",3991 is a market take on how influenti blog have becom whi that someth to worri about and which broken dynam govern the internet today includ hi own confess of how he game that veri system to success gener press for hi client creativ
The $100 Startup,3992 show you how to break free from the shackl of 9 to 5 by combin your passion and skill into your own microbusi which you can start for 100 or less yet still turn into a full time incom thank to the power of the internet creativ
Crush It,3993 is the blueprint you need to turn your passion into your profess and will give you the tool to turn yourself into a brand leverag social media produc great content and reap the financi benefit of it creativ
Permission Marketing,3994 explain whi nobodi pay attent to tv commerci and flyer anymor and show you how in today crowd market you can cheapli start a dialogu with your ideal custom build a relationship over time and sell to them much more effect creativ
Rookie Smarts,3995 argu against experi and for a mindset of learn in the modern workplac due to knowledg grow and chang fast which give rooki a competit advantag as theyr not bound by common practic and the statu quo creativ
The Art Of Social Media,3996 is a compendium of over 100 practic tip to treat your social media presenc like a busi and use a bottomup approach to get the attent your brand product or busi deserv creativ
Big Magic,3997 is the book thatll give you the courag you need to pursu your creativ interest by show you how to deal with your fear notic idea and act on them and take the stress out of creation creativ
The Power Of Starting Something Stupid,3998 show you that most idea are often fals label stupid at first and that if they are that a good indic you should pursu them and not care what anyon think creativ
Make Your Mark,3999 is a busi book for creativ tell them how to get start on turn their creativ energi into a profit busi with simpl action idea taken from 20 lead entrepreneur and design who lead success creativ busi creativ
Think And Grow Rich,4000 is a curat of the 13 most common habit of wealthi and success peopl distil from studi over 500 individu over the cours of 20 year creativ
"Jab, Jab, Jab, Right Hook",4001 is a messag to everyon who not on the social media train yet show them how to tell their stori the right way on social media so that itll actual get heard creativ
The Art Of Work,4002 is the instruct manual to find your vocat by look into your passion connect them to the need of the world and thu build a legaci that bigger than yourself creativ
Start With Why,4003 is simon sinek mission to help other do work which inspir them and use realworld exampl of great leader to show you how they commun and how you can adapt their mindset to inspir other yourself creativ
The War Of Art,4004 bring some much need tough love to all artist busi peopl and creativ who spend more time battl the resist against work than actual work by identifi the procrastin forc at play and pull out the rug from under their feet creativ
The Tipping Point,4005 explain how idea spread like epidem and which few element need to come togeth to help an idea reach the point of critic mass where it viral effect becom unstopp creativ
Mastery,4006 debunk the myth of talent and show you there are proven step you can take to achiev masteri in a disciplin of your own choos by analyz the path of some of histori most famou master such as einstein darwin and da vinci creativ
Choose Yourself,4007 is a call to give up tradit career path and take your life into your own hand by build good habit creat your own career and make a decis to choos yourself creativ
The Happiness Of Pursuit,4008 is a call to take control of your own life by go on a quest which will fill your life with mean purpos and a whole lot of adventur creativ
The Millionaire Fastlane,4009 point out what wrong with the old get a degre get a job work hard retir rich model defin wealth in a new way and show you the path to retir young creativ
Growth Hacker Marketing,4010 explain the 4step framework today startup use to remov the barrier between market and product develop thu make the product itself the best way to get new and more custom creativ
A Brief History Of Time,4011 is stephen hawk way of explain the most complex concept and idea of physic such as space time black hole planet star and graviti to the averag joe so that even you and i can better understand how our planet wa creat where it came from and where it go creativ
Steve Jobs,4012 is the most detail and accur account of the life of the man who creat appl the most valuabl technolog compani in the world creativ
Hooked,4013 show you how some of the world most success product like smartphon make us form habit around them and whi that crucial to their success befor teach you the 4step framework that lie behind them creativ
The Wisdom Of Crowds,4014 research whi group reach better decis than individu what make group smart where the danger of group decis lie and how each of us can encourag the group we are part of to work togeth creativ
How We Learn,4015 teach you how your brain creat and recal memori what you can do to rememb thing better and longer and how you can boost your creativ and improv your gut decis along the way creativ
Do The Work,4016 is steven pressfield followup to the war of art where he give you action tactic and strategi to overcom resist the forc behind procrastin creativ
Built To Last,4017 examin what lie behind the extraordinari success of 18 visionari compani and which principl and idea theyv use to thrive for a centuri creativ
A Tale of Two Cities,4018 tell the stori of two connect famili in 18thcenturi london and pari explor everyth from love and loss to murder and famili intrigu thu teach us about histori ethic and the complex of human relationship educ
Dear Girls,4019 is a collect of letter written by comedian ali wong to her two daughter recount tale from her youth and life in an attempt to pass on some hardearn wisdom to them and anyon will to listen to her stori educ
The 4 Minute Millionaire,4020 is a collect of 44 short lesson sourc from the best financ book each pair with an action item to help you get closer to financi freedom in just 4 minut a day educ
"The Wealthy Gardener is a series of stories told from the perspective of an old, wealthy man, who shares the financial wisdom he’s acquired over many years with the members in his community, showing them how to",4021 build wealth stepbystep through short yet meaning anecdot educ
Brave New World,4022 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc educ
1984,4023 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free educ
The Catcher in the Rye,4024 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect educ
The Infinite Game,4025 argu that busi is not a competit but an infinit journey and that to do well in it leader must advanc a just caus build trust team learn from their worthi rival and practic existenti flexibl educ
The Art of Statistics,4026 is a nontechn book that show how statist is help human everywher get a new hold of data interpret number factcheck inform and reveal valuabl insight all while keep the world as we know it afloat educ
Rich Dad’s Cashflow Quadrant,4027 is an inspir read by kiyosaki which come as a sequel after hi first groundbreak book and present how hard work doesnt alway equal becom rich as wealth is like a result of smart money decis educ
A Tale of Two Cities,4028 tell the stori of two connect famili in 18thcenturi london and pari explor everyth from love and loss to murder and famili intrigu thu teach us about histori ethic and the complex of human relationship educ
Dear Girls,4029 is a collect of letter written by comedian ali wong to her two daughter recount tale from her youth and life in an attempt to pass on some hardearn wisdom to them and anyon will to listen to her stori educ
The 4 Minute Millionaire,4030 is a collect of 44 short lesson sourc from the best financ book each pair with an action item to help you get closer to financi freedom in just 4 minut a day educ
"The Wealthy Gardener is a series of stories told from the perspective of an old, wealthy man, who shares the financial wisdom he’s acquired over many years with the members in his community, showing them how to",4031 build wealth stepbystep through short yet meaning anecdot educ
Brave New World,4032 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc educ
1984,4033 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free educ
The Catcher in the Rye,4034 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect educ
The Infinite Game,4035 argu that busi is not a competit but an infinit journey and that to do well in it leader must advanc a just caus build trust team learn from their worthi rival and practic existenti flexibl educ
The Art of Statistics,4036 is a nontechn book that show how statist is help human everywher get a new hold of data interpret number factcheck inform and reveal valuabl insight all while keep the world as we know it afloat educ
Rich Dad’s Cashflow Quadrant,4037 is an inspir read by kiyosaki which come as a sequel after hi first groundbreak book and present how hard work doesnt alway equal becom rich as wealth is like a result of smart money decis educ
Maoism,4038 explor the ideolog of mao zedong the chines leader of the communist parti of the twentieth centuri and how he manag to turn hi doctrin into a massadopt phenomenon that continu even today under differ form and shape educ
The Dawn of Everything,4039 tell the stori of how we went from huntergather to citybuild from the stone age to today modern world all by explor a seri of new discoveri made by scientist who are challeng some longheld belief about our histori educ
Napoleon’s Buttons,4040 explor the scientif phenomenon of molecul by highlight how we can trace the origin of our entir exist to someth as tini as atom and make sens of variou event in histori that shape our world educ
The Courage to Be Happy,4041 offer a handson guid to live a meaning life and let go of neg thought by compil the groundbreak theori of psychologist alfr adler with other valuabl research into an allinon book for becom a happi and fulfil person educ
How to Break Up With Your Phone ,4042 explor a common problem for all of us who are engag with social media and constant use of phone name our addict to these devic and the internet and way to ditch it for good and find mean in our live outsid of our virtual encount educ
The Daily Stoic,4043 is a yearlong compil of short daili medit from ancient stoic philosoph like seneca epictetu marcu aureliu and other teach you equanim resili and persever educ
Designing Your Work Life,4044 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better educ
"Eats, Shoots & Leaves",4045 offer a humor yet instruct overview of how punctuat rule play a huge part in our write languag and how today societi ha becom overli relax about use the right punctuat mark leav grammarconcern peopl like her frustrat educ
The God Equation,4046 present a factual approach to the theori of life the incept of the univers and how modern physic lay the foundat of all natur law that govern the galaxi the planet and our home call earth educ
Astrophysics for People in a Hurry,4047 talk about the law of natur physic astronomi and the mysteri incept of our cosmo the univers star and implicitli our beauti planet where life thrive and perpetu educ
Lifespan,4048 address the concept of age and defi the law of natur that humankind knew till now by present a cure to age that deriv from exetens research in biolog diet and nutrit sport and the scienc of combat diseas educ
Chaos,4049 is a scientif piec of write that present the principl behind the chao theori which wa popular in the late 20th centuri and repres a monument step forward in the area of scientif knowledg and the univers evolut overal educ
Elite Minds,4050 delv into the idea of success and teach you how to train your mind to tap into it highest potenti adopt a win mental embrac the gift youv been given and improv mental tough educ
The Mom Test,4051 talk about way to tell if your busi idea is great or terribl by assess the opinion of your friend famili and investor accordingli and not believ everyth they say just to make you feel good educ
Noise,4052 delv into the concept of random and talk about how we as human make decis that prove to be lifechang without put the necessari thought into it and how we can strengthen our think process educ
Fat For Fuel,4053 explor the educ
Show Your Work!,4054 talk about the import of be discover showcas your work like a profession and network properli in order to succeed with your creativ work educ
The Practice of Groundedness,4055 provid a more ground way of live by elimin the cult of be product all the time to achiev success instead offer a way to be at peac with yourself priorit mental health and a simpl yet meaning life educ
Richard Nixon: The Life,4056 present the detail biographi of the thirtyseventh presid of the unit state who becam famou for hi success endeavor that put him in the white hous and for hi controversi life the complex of be such a top tier polit figur educ
Make It Stick,4057 explor way to memor faster and make learn easier all while debunk myth and common misconcept about learn be difficult and attribut to those who have highli nativ cognit skill with the help of research whove studi the scienc of memori their entir life educ
Rationality,4058 explor the concept of ration as the pylon of all human progress and how it set us apart from all other speci help us evolv and develop societ layer rule of conduct and moral ground for all our endeavor in life educ
What Is Life?,4059 compress a seri of lectur given by the notori physicist erwin schrdinger and is a compel research on how scienc especi biolog chemistri and physic account for the ongo process that the human bodi undertak to simpli exist and live educ
The Art of Rhetoric,4060 is an ancient timeproven refer book that explor the secret behind persuas rhetor and good public speak by provid compel inform on what a good speech should consist of and how truth and virtu are at the foundat of everi good stori educ
U Thrive,4061 explor the topic of colleg life and offer practic advic on how to diminish stress and anxieti from exam deadlin unfit roommat while thrive in the campu academ life and creat meaning experi educ
Thrivers,4062 explor the perspect of a child born in today fastpac digit era and how the averag minor is be educ toward higherthanusu achiev be matur respons and success instead of be happi and focus on their own definit of success educ
The Secret World of Weather,4063 is a guid to forecast weather through variou clue found in natur such as plant the wind or cloud to come up with an accur calcul of the weather without have to check the news educ
Long Life Learning,4064 question the current educ system worldwid in relat to an increas trend in job autom grow life expect and a devalu in higher degre all with a strong focu on the futur of work and urgenc to adapt to it educ
The Case Against Sugar,4065 advoc against the use of sugar in the food industri and offer a critic look at how thi harm substanc took over the world under the eye of our highest institut who are veri well awar of it toxic but choos to remain silent educ
The Hidden Habits of Genius,4066 look at how genius separ themselv from the rest by have in common a distinct set of characterist and habit that form a uniqu way of think and cultiv brillianc educ
How to Take Smart Notes,4067 is the perfect guid on how to improv your write read and learn techniqu use simpl yet littleknown tipsandtrick that you can implement right away to develop these skill educ
The Law Says What,4068 is a book that deliv signific insight into variou everyday aspect of the law that most of us dont know about but realli should how we should navig between them and get a better understand of how they can protect us educ
How Democracies Die,4070 lay out the foundat principl of work democraci by look at histor event especi in latin america that show how democraci have fail in the past how it could happen again and how we can protect democraci from threat like bad leadership inequ and extrem educ
The Data Detective,4071 will make you smarter by show how you can understand statist well enough to see how they and the belief and cognit bias they can make you have make such a huge impact in your life for better or for wors and how to separ fact from fiction educ
Lives of the Stoics,4072 take a deep dive into the experi and belief of some of the earliest philosoph practic the four stoic virtu of courag temper justic and wisdom educ
Hyperfocus,4073 teach you how to becom more effici and improv your concentr by decid on one thing to work on focus onli on that task learn to understand when your mind ha wander and redirect your attent back to your work and think creativ when your not work educ
No Logo,4074 use four part includ no space no choic no job and no logo to explain the growth of brand power sinc the 1980 how the focu of compani on imag rather than product ha affect employe and to identifi those who fight against larg corpor and their brand educ
The Double Helix,4075 tell the stori of the discoveri of dna which is one of the most signific scientif find in all of histori by explain the rivalri struggl of the pride scientif commun to work togeth and other roadblock that jame watson had on the way to make the breakthrough of a lifetim that would chang hi life and the entir world educ
Restart,4076 tell the stori of india almostleadership of the world economi show whi and how it instead succumb to problem from the past how those problem still hold it back today and what the countri might do about them educ
The Grand Design,4077 explain the histori of mankind from a scientif perspect includ how we came into exist and start to use scienc to explain the world and ourselv with law like newton and einstein and more recent theori like quantum physic educ
Boys & Sex,4078 share the best insight that peggi orenstein had after two year of ask young men about their sex live includ whi stereotyp make life harder for them how hookup cultur is destroy relationship and what we as a societi can do to help these boy have better healthier view about and experi with sex educ
Girls & Sex,4079 identifi how pop cultur and societ expect hurt young women as they begin navig the realm of sexual teach us how to help girl feel empow in choos who they want to be educ
The Case Against Education,4080 reveal whi the school system is so broken how it doesnt fulfil it intend purpos but instead creat multipl problem for societi and what we might tri to do to fix it educ
Curious,4081 is your guid to becom more intellig by har the power of inquisit and outlin the true natur of curios how to keep it flourish to becom smarter and what you might unknowingli be do to suffoc it power educ
The Importance Of Being Little,4082 outlin the terribl ineffici of preschool identifi how brilliantli curiou the mind of kid are and teach way to help them succeed through focus more on principl like play and skilldevelop educ
Weird Parenting Wins,4083 will make you better at rais your kid by share some strang way that father and mother have had success with their children help you see that your intuit might just be the greatest tool you have at your dispos educ
Hillbilly Elegy,4084 is the inspir autobiographi of jd vanc who explain how hi life began in poverti and turbul and what he had to do to beat those difficult circumst and rise to success educ
Why “A” Students Work For “C” Students,4085 contain robert kiyosaki lesson on how the global financi crisi is the result of a lack of educ and show parent how to becom truli money liter so they can teach their kid to do the same and attain financi freedom educ
The Fifth Discipline,4086 show you how to find joy at work again as an employe and improv your compani product if your an employ by outlin the five valu you must adopt to turn your workplac into a learn environ educ
So You Want To Talk About Race,4087 will help you make the world a better fairer place by explain how deepli entrench racism is in our cultur today and give specif tip for have effect convers about it so you can help end thi major issu with societi educ
Battle Hymn Of The Tiger Mother,4088 open your eye to the potenti benefit of tough love by share the tradit chines parent style and experi of ami chua educ
Empire Of Illusion,4089 motiv you to watch less tv and get better at read by outlin the sharp drop in literaci level in the unit state in recent year the neg effect that have follow and the dark futur ahead if we continu on thi path educ
Educated,4090 will help you becom more grate for your school freedom and normal relationship by explain the famili difficulti that tara westov had to break free of so that she could get her own educ educ
Crippled America,4091 make you a more inform citizen by share the polit belief and reason behind billionair and businessman donald j trump plan to make hi countri great again educ
Born A Crime,4092 will inspir you to make great thing happen no matter what circumst your born into by reveal the stori of how trevor noah grew up as a mix child in south africa on the way to becom an adult educ
Range,4093 show that have a broad spectrum of skill and interest and take your time to figur them out is better than special in just one area educ
Becoming,4094 will use michel obama life stori to motiv you to move forward with your dream regardless of your circumst critic or what peopl think educ
How To,4095 will help you get better at abstract think as it give solut to some of the strangest problem in the wackiest but still scientif way educ
The Uninhabitable Earth,4096 explain how human complac and neglig have put thi world on a cours to soon be unliv unless we each do our small part to improv how we care for thi beauti planet we live on educ
Outwitting The Devil,4097 is an imagin interview between napoleon hill and the devil himself in which he wring certain truth from the root of evil which will help us avoid hi grasp and live a good life educ
Reinvent Yourself,4098 is a templat for how to best adapt in a world in which the onli constant is chang so that you may find happi success wealth meaning work and whatev els you desir in life educ
21 Lessons For The 21st Century,4099 highlight today most press polit cultur and econom challeng creat by technolog while help us prepar for an uncertain futur educ
Homo Deus,4100 illustr the histori of the human race from how we came to be the domin speci over what narr are shape our live today all the way to which obstacl we must overcom next to continu to thrive educ
How To Talk To Anyone,4101 is a collect of action tip to help you master the art of human commun leav great first impress and make peopl feel comfort around you in all walk of life educ
How To Fail At Almost Everything And Still Win Big,4102 is the memoir of dilbert cartoonist scott adam educ
Problem Solving 101,4103 is a univers fourstep templat for overcom challeng in life base on a tradit method japanes school children learn earli on educ
Skin In The Game,4104 is an assess of asymmetri in human interact aim at help you understand where and how gap in uncertainti risk knowledg and fair emerg and how to close them educ
Leonardo Da Vinci,4105 is walter isaacson account of the life of one of the most brilliant artist thinker and innov who ever live educ
Barking Up The Wrong Tree,4106 turn standard success advic on it head by look at both side of mani common argument like confid extrovers or be nice conclud it realli other factor that decid if we win and we control more of them than we think educ
Out Of Our Minds,4107 is about how we can set ourselv and our children up for do good work in organ around the globe thank to leav behind the old mass educ model and unleash our individu creativ educ
Ego Is The Enemy,4108 reveal whi a tendenc that hardwir into our brain the belief that the world revolv around us and us alon keep hold us back from live the veri life it dream up for us includ what we can do to overcom our ego be kinder to other and ourselv and achiev true great educ
Plato At The Googleplex,4109 ask what would happen if ancient philosoph plato were aliv today and came in contact with the modern world for exampl by tour googl headquart and what the implic of hi encount are for the relev of philosophi in our civil hypertechnolog world educ
How To Read A Book,4110 is a 1940 classic teach you how to becom a more activ reader and deliber practic the variou stage of read in order to maxim the valu you get from book educ
The Opposite Of Spoiled,4111 show you how to rais financi consciou children who learn the valu of money earli on by lead an open dialogu about money give them respons and teach them patienc educ
The Magic Of Reality,4112 explain mani of the world natur phenomenon in a scientif way so that you can understand how the elementari compon of our planet work togeth to logic yet beauti creat the place we all call home educ
Benjamin Franklin: An American Life,4113 take a thorough look at the life of one of the most influenti human that ever live and explain how he could achiev such great in so mani differ field and area educ
Excellent Sheep,4114 describ how fundament broken elit educ is whi it make student feel depress and lost how educ institut have been alien from their true purpos what student realli must learn in colleg and how we can go back to make colleg a place for selfdiscoveri and critic think educ
Long Walk To Freedom,4115 is the autobiographi of nelson mandela south african antiapartheid activist nation icon and the first south african black presid elect in the first fulli democrat elect in the countri educ
The Magic of Math,4116 show you not onli the power but also the beauti of mathemat unlik youv ever seen it in school and with practic realworld applic educ
Creative Schools,4117 reveal how fundament broken our formal educ system realli is and how we can chang our perspect to teach children the compet and thing they actual need to navig the modern world educ
Smart People Should Build Things,4118 explain how the current educ system work against the economi by produc an endless string of banker and consult instead of the innov we need and how we can encourag more young peopl to becom entrepreneur to solv thi problem educ
A Curious Mind,4119 is an homag to the power of ask question show you how be curiou can chang your entir life from the way you do busi to how you interact with your love one or even shape your countri educ
How to Become a Straight-A Student,4120 give you the techniqu a student have use to pass colleg with fli color and summa cum laud degre without compromis their entir live and spend everi minut in the librari rang from time manag and notetak tactic all the way to how you can write a great thesi educ
Meditations On First Philosophy,4121 is one of the premier work of western philosophi written by ren descart in 1641 prompt us to abandon everyth that can possibl be doubt and then start to reason our way forward base onli on what we can know with absolut certainti educ
The Personal MBA,4122 will save you a few hundr grand by outlin everyth you realli need to know to get start on a thrive busi none of which is taught in expens colleg educ
Man’s Search for Meaning,4123 detail holocaust survivor viktor frankl horrifi experi in nazi concentr camp along with hi psycholog approach of logotherapi which is also what help him surviv and show you how you can and must find mean in your life educ
10 Days To Faster Reading,4124 help you bring your read skill to the current centuri even if youv stop develop them like most of us with the end of elementari school by help you select what to read in a better way and give you action techniqu to read and retain faster and better educ
The Art Of Learning,4125 explain the scienc of becom a top perform base on josh waitzkin person rise to the top of the chess and tai chi world by show you the right mindset proper way to practic and how to build the habit of a profession educ
How To Read Literature Like A Professor,4126 show you how to get more out of your read by educ you about the basic of classic literatur and how author use pattern theme memori and symbol in their work to deliv their messag to you educ
The Promise Of A Pencil,4127 narrat the stori of how adam braun wellbr averag colleg kid work at bain amp compani shook off what societi expect of him and creat a life of signific and success by start hi own chariti which now ha built hundr of school for children in need educ
Second Chance,4128 prepar you for the greatest evolutionari event in histori which were all live through right now the shift from the industri age to the inform age where job and tradit educ arent the right tool to build wealth anymor educ
Outliers,4129 explain whi the selfmad man is a myth and what truli lie behind the success of the best peopl in their field which is often a seri of lucki event rare opportun and other extern factor which are out of our control educ
Mastery,4130 debunk the myth of talent and show you there are proven step you can take to achiev masteri in a disciplin of your own choos by analyz the path of some of histori most famou master such as einstein darwin and da vinci educ
Money: Master The Game,4131 hold 7 simpl step to financi freedom base on the advic of the world best billionair investor interview by toni robbin educ
Bounce,4132 show you that train trump talent everi time by explain the scienc of deliber practic the mindset of high perform and how you can use those tool to becom a master of whichev skill you choos educ
Choose Yourself,4133 is a call to give up tradit career path and take your life into your own hand by build good habit creat your own career and make a decis to choos yourself educ
Salt Sugar Fat,4134 take you through the histori of the demis of homecook meal by explain whi you love salt sugar and fat so much and how the process food industri manag to hook us by cram all 3 of those into their product educ
The Millionaire Fastlane,4135 point out what wrong with the old get a degre get a job work hard retir rich model defin wealth in a new way and show you the path to retir young educ
How We Learn,4136 teach you how your brain creat and recal memori what you can do to rememb thing better and longer and how you can boost your creativ and improv your gut decis along the way educ
The Little Prince,4137 is a beauti children stori full of valuabl lesson for adult recount the tale of an aviat and a littl boy from a distant planet both strand in the desert look to get home share what theyv learn about life fiction
The Picture of Dorian Gray,4138 tell the stori of a young beauti man who trade hi soul for etern youth then descend further and further into a moral abyss until he discov there is after all a price to pay for hi action fiction
"The Great Gatsby is an American classic following Jay Gatsby’s quest to win back his long-lost love by faking a successful life, ",4139 depict the struggl around love relationship societ stand and consumer of peopl in the roar 1920 fiction
A Tale of Two Cities,4140 tell the stori of two connect famili in 18thcenturi london and pari explor everyth from love and loss to murder and famili intrigu thu teach us about histori ethic and the complex of human relationship fiction
"The Wealthy Gardener is a series of stories told from the perspective of an old, wealthy man, who shares the financial wisdom he’s acquired over many years with the members in his community, showing them how to",4141 build wealth stepbystep through short yet meaning anecdot fiction
The Midnight Library,4142 tell the stori of nora a depress woman in her 30 who on the day she decid to die find herself in a librari full of live she could have live where she discov there a lot more to life even her current one than she had ever imagin fiction
Brave New World,4143 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc fiction
1984,4144 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free fiction
The Catcher in the Rye,4145 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect fiction
Siddhartha,4146 present the selfdiscoveri expedit of a man dure the time of the buddha who unsur of what life realli mean to him take an exploratori journey to pursu the high and low of life which ultim lead him to discov the equilibrium in all thing and a higher wisdom within fiction
The Little Prince,4147 is a beauti children stori full of valuabl lesson for adult recount the tale of an aviat and a littl boy from a distant planet both strand in the desert look to get home share what theyv learn about life fiction
The Picture of Dorian Gray,4148 tell the stori of a young beauti man who trade hi soul for etern youth then descend further and further into a moral abyss until he discov there is after all a price to pay for hi action fiction
"The Great Gatsby is an American classic following Jay Gatsby’s quest to win back his long-lost love by faking a successful life, ",4149 depict the struggl around love relationship societ stand and consumer of peopl in the roar 1920 fiction
A Tale of Two Cities,4150 tell the stori of two connect famili in 18thcenturi london and pari explor everyth from love and loss to murder and famili intrigu thu teach us about histori ethic and the complex of human relationship fiction
"The Wealthy Gardener is a series of stories told from the perspective of an old, wealthy man, who shares the financial wisdom he’s acquired over many years with the members in his community, showing them how to",4151 build wealth stepbystep through short yet meaning anecdot fiction
The Midnight Library,4152 tell the stori of nora a depress woman in her 30 who on the day she decid to die find herself in a librari full of live she could have live where she discov there a lot more to life even her current one than she had ever imagin fiction
Brave New World,4153 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc fiction
1984,4154 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free fiction
The Catcher in the Rye,4155 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect fiction
Siddhartha,4156 present the selfdiscoveri expedit of a man dure the time of the buddha who unsur of what life realli mean to him take an exploratori journey to pursu the high and low of life which ultim lead him to discov the equilibrium in all thing and a higher wisdom within fiction
The Little Prince,4157 is a beauti children stori full of valuabl lesson for adult recount the tale of an aviat and a littl boy from a distant planet both strand in the desert look to get home share what theyv learn about life commun
Dear Girls,4158 is a collect of letter written by comedian ali wong to her two daughter recount tale from her youth and life in an attempt to pass on some hardearn wisdom to them and anyon will to listen to her stori commun
On Writing,4159 detail stephen king journey to becom one of the bestsel author of all time while deliv hardwon advic on the craft to aspir writer commun
The Highly Sensitive Person,4160 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result commun
The Financial Diet,4161 is a compendium of clever money tip for beginn offer thrifti spend advic and sound money strategi in a wide rang of area such as budget invest work food home and even love commun
The Catcher in the Rye,4162 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect commun
The Infinite Game,4163 argu that busi is not a competit but an infinit journey and that to do well in it leader must advanc a just caus build trust team learn from their worthi rival and practic existenti flexibl commun
The Daily Laws,4164 is a pageaday calendarstyl book cover the three big topic of masteri power and emot share robert green best lesson from 20 year of research of the dynam within and between human commun
The Life-Changing Science of Detecting Bullshit,4165 teach it reader how to avoid fall for the lie and fals inform that other peopl spread by help them build essenti think skill through exampl from the real world commun
The Little Prince,4166 is a beauti children stori full of valuabl lesson for adult recount the tale of an aviat and a littl boy from a distant planet both strand in the desert look to get home share what theyv learn about life commun
Dear Girls,4167 is a collect of letter written by comedian ali wong to her two daughter recount tale from her youth and life in an attempt to pass on some hardearn wisdom to them and anyon will to listen to her stori commun
On Writing,4168 detail stephen king journey to becom one of the bestsel author of all time while deliv hardwon advic on the craft to aspir writer commun
The Highly Sensitive Person,4169 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result commun
The Financial Diet,4170 is a compendium of clever money tip for beginn offer thrifti spend advic and sound money strategi in a wide rang of area such as budget invest work food home and even love commun
The Catcher in the Rye,4171 describ the adventur of welloff teenag boy holden caulfield on a weekend out alon in new york citi illumin the struggl of young adult with existenti question of moral ident mean and connect commun
The Infinite Game,4172 argu that busi is not a competit but an infinit journey and that to do well in it leader must advanc a just caus build trust team learn from their worthi rival and practic existenti flexibl commun
The Daily Laws,4173 is a pageaday calendarstyl book cover the three big topic of masteri power and emot share robert green best lesson from 20 year of research of the dynam within and between human commun
The Life-Changing Science of Detecting Bullshit,4174 teach it reader how to avoid fall for the lie and fals inform that other peopl spread by help them build essenti think skill through exampl from the real world commun
Discipline Is Destiny,4175 is a threepart manual to master and implement the stoic virtu of temper aka disciplin in your life thu improv your bodi mind and spirit commun
One Decision,4176 explain how flaw decis occur and how you can avoid them by analyz data at first ask for factcheck opinion elimin your bias and prejudic and mani more use practic deriv from psycholog research commun
The Courage to Be Happy,4177 offer a handson guid to live a meaning life and let go of neg thought by compil the groundbreak theori of psychologist alfr adler with other valuabl research into an allinon book for becom a happi and fulfil person commun
Expert Secrets,4178 teach you how to creat and implement an inform market plan and put it into practic while also show you what problem you must solv for your prospect or teach them how to do it themselv commun
What to Say When You Talk to Yourself,4179 is a book by shad helmstett a selfhelp guru who ha written sever piec on the subject of selftalk and who argu that in order to achiev our highest self we need to work on how we talk to ourselv and identifi our biggest challeng to conquer commun
A World Without Email,4180 present a utopia where peopl engag in their usual profession activ without use email as a mean of commun and explor a new way of work that doesnt reli on instant messag which is known for decreas product at the workplac commun
